Cell Type,Offset X,Offset Y,Overlap
F-mini-ON,28.68910592,-38.17545197,0.225991009
F-mini-ON,-12.20694747,-14.97651444,0.527017842
F-mini-ON,-25.54478193,-16.74502137,0.441152922
F-mini-ON,-0.837318082,-26.50247616,0.444506861
F-mini-ON,23.90468098,-22.39086245,0.357978121
F-mini-ON,-10.38970555,-33.4054223,0.247920133
F-mini-ON,-14.6835054,-56.45943544,0.180714989
F-mini-ON,-48.56891438,-31.29169711,0.067559881
F-mini-ON,-7.432836141,-30.47081628,0.366120219
Control,8.099812842,-20.03849956,0.574114561
Control,-0.04982964,-7.62416203,0.589825119
Control,-18.40737122,2.57339923,0.576182137
Control,-30.87677181,-8.969676002,0.385084691
Control,-1.173820635,-18.47404173,0.513379334
Control,8.71003675,7.484264947,0.605565962
Control,-40.82851315,-32.54523903,0.172714835
Control,22.80453769,-17.91051237,0.496259352
Control,12.95458879,9.491637557,0.642065745
Control,2.161949523,1.712902015,0.795511222
Control,-40.60346972,2.447759356,0.334222815
Control,-12.77353293,33.14312913,0.404494382
Control,39.17794592,-22.96999936,0.345190942
Control,-0.993765034,16.07870092,0.670223624
